# 2  # Number of bands below the Fermi level
# 0  # Spin-orbit coupling. No: 0, Yes: 1
# 16 
# 1  0  0    0  1  0    0  0  1       0.000000   0.000000   0.000000        1.000000    0.000000      0.000000    0.000000      0.000000    0.000000      1.000000    0.000000
#-1  0  0    0 -1  0    0  0  1       0.500000   0.500000   0.000000        0.000000   -1.000000      0.000000    0.000000      0.000000    0.000000      0.000000    1.000000
# 0 -1  0    1  0  0    0  0  1       0.500000   0.000000   0.000000        0.707107   -0.707107      0.000000    0.000000      0.000000    0.000000      0.707107    0.707107
# 0  1  0   -1  0  0    0  0  1       0.000000   0.500000   0.000000        0.707107    0.707107      0.000000    0.000000      0.000000    0.000000      0.707107   -0.707107
#-1  0  0    0  1  0    0  0 -1       0.000000   0.500000   0.500000        0.000000    0.000000     -1.000000    0.000000      1.000000    0.000000      0.000000    0.000000
# 1  0  0    0 -1  0    0  0 -1       0.500000   0.000000   0.500000        0.000000    0.000000      0.000000   -1.000000      0.000000   -1.000000      0.000000    0.000000
# 0  1  0    1  0  0    0  0 -1       0.500000   0.500000   0.500000        0.000000    0.000000     -0.707107   -0.707107      0.707107   -0.707107     -0.000000    0.000000
# 0 -1  0   -1  0  0    0  0 -1       0.000000   0.000000   0.500000        0.000000    0.000000      0.707107   -0.707107     -0.707107   -0.707107     -0.000000    0.000000
#-1  0  0    0 -1  0    0  0 -1       0.000000   0.000000   0.000000        1.000000    0.000000      0.000000    0.000000      0.000000    0.000000      1.000000    0.000000
# 1  0  0    0  1  0    0  0 -1       0.500000   0.500000   0.000000        0.000000   -1.000000      0.000000    0.000000      0.000000    0.000000      0.000000    1.000000
# 0  1  0   -1  0  0    0  0 -1       0.500000   0.000000   0.000000        0.707107   -0.707107      0.000000    0.000000      0.000000    0.000000      0.707107    0.707107
# 0 -1  0    1  0  0    0  0 -1       0.000000   0.500000   0.000000        0.707107    0.707107      0.000000    0.000000      0.000000    0.000000      0.707107   -0.707107
# 1  0  0    0 -1  0    0  0  1       0.000000   0.500000   0.500000        0.000000    0.000000     -1.000000    0.000000      1.000000    0.000000      0.000000    0.000000
#-1  0  0    0  1  0    0  0  1       0.500000   0.000000   0.500000        0.000000    0.000000      0.000000   -1.000000      0.000000   -1.000000      0.000000    0.000000
# 0 -1  0   -1  0  0    0  0  1       0.500000   0.500000   0.500000        0.000000    0.000000     -0.707107   -0.707107      0.707107   -0.707107     -0.000000    0.000000
# 0  1  0    1  0  0    0  0  1       0.000000   0.000000   0.500000        0.000000    0.000000     -0.707107    0.707107      0.707107    0.707107     -0.000000    0.000000
#

  0.000000       0.000000    0.000000    0.000000          1         1     9.9825   1.000000   0.000000       1.000000   0.000000      -1.000000  -0.000000      -1.000000   0.000000      -1.000000  -0.000000      -1.000000   0.000000       1.000000   0.000000       1.000000  -0.000000       1.000000   0.000000       1.000000   0.000000      -1.000000   0.000000      -1.000000  -0.000000      -1.000000   0.000000      -1.000000   0.000000       1.000000  -0.000000       1.000000  -0.000000
  0.123563       0.000000    0.166667    0.000000          2         1    10.6143   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.866025  -0.500000            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.866025   0.500000            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000   0.000000            XXX        XXX            XXX        XXX
  0.135919       0.000000    0.183333    0.000000          1         1    10.0636   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.838671   0.544639            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.838671  -0.544639            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000   0.000000            XXX        XXX            XXX        XXX
  0.135919       0.000000    0.183333    0.000000          2         1    10.6107   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.838671  -0.544639            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.838671   0.544639            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.148276       0.000000    0.200000    0.000000          1         1    10.0764   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.809017   0.587785            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.809017  -0.587785            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000   0.000000            XXX        XXX            XXX        XXX
  0.148276       0.000000    0.200000    0.000000          2         1    10.6025   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.809017  -0.587785            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.809017   0.587785            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.160632       0.000000    0.216667    0.000000          1         1    10.0914   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.777146   0.629320            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.777146  -0.629320            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.160632       0.000000    0.216667    0.000000          2         1    10.5991   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.777146  -0.629320            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.777146   0.629320            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000   0.000000            XXX        XXX            XXX        XXX
  0.172988       0.000000    0.233333    0.000000          1         1    10.1061   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.743145   0.669131            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.743145  -0.669131            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000   0.000000            XXX        XXX            XXX        XXX
  0.172988       0.000000    0.233333    0.000000          2         1    10.5932   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.743145  -0.669131            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.743145   0.669131            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.185345       0.000000    0.250000    0.000000          1         1    10.1234   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.707107   0.707107            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.707107  -0.707107            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000   0.000000            XXX        XXX            XXX        XXX
