# 2  # Number of bands below the Fermi level
# 0  # Spin-orbit coupling. No: 0, Yes: 1
# 16 
# 1  0  0    0  1  0    0  0  1       0.000000   0.000000   0.000000        1.000000    0.000000      0.000000    0.000000      0.000000    0.000000      1.000000    0.000000
#-1  0  0    0 -1  0    0  0  1       0.500000   0.500000   0.000000        0.000000   -1.000000      0.000000    0.000000      0.000000    0.000000      0.000000    1.000000
# 0 -1  0    1  0  0    0  0  1       0.500000   0.000000   0.000000        0.707107   -0.707107      0.000000    0.000000      0.000000    0.000000      0.707107    0.707107
# 0  1  0   -1  0  0    0  0  1       0.000000   0.500000   0.000000        0.707107    0.707107      0.000000    0.000000      0.000000    0.000000      0.707107   -0.707107
#-1  0  0    0  1  0    0  0 -1       0.000000   0.500000   0.500000        0.000000    0.000000     -1.000000    0.000000      1.000000    0.000000      0.000000    0.000000
# 1  0  0    0 -1  0    0  0 -1       0.500000   0.000000   0.500000        0.000000    0.000000      0.000000   -1.000000      0.000000   -1.000000      0.000000    0.000000
# 0  1  0    1  0  0    0  0 -1       0.500000   0.500000   0.500000        0.000000    0.000000     -0.707107   -0.707107      0.707107   -0.707107     -0.000000    0.000000
# 0 -1  0   -1  0  0    0  0 -1       0.000000   0.000000   0.500000        0.000000    0.000000      0.707107   -0.707107     -0.707107   -0.707107     -0.000000    0.000000
#-1  0  0    0 -1  0    0  0 -1       0.000000   0.000000   0.000000        1.000000    0.000000      0.000000    0.000000      0.000000    0.000000      1.000000    0.000000
# 1  0  0    0  1  0    0  0 -1       0.500000   0.500000   0.000000        0.000000   -1.000000      0.000000    0.000000      0.000000    0.000000      0.000000    1.000000
# 0  1  0   -1  0  0    0  0 -1       0.500000   0.000000   0.000000        0.707107   -0.707107      0.000000    0.000000      0.000000    0.000000      0.707107    0.707107
# 0 -1  0    1  0  0    0  0 -1       0.000000   0.500000   0.000000        0.707107    0.707107      0.000000    0.000000      0.000000    0.000000      0.707107   -0.707107
# 1  0  0    0 -1  0    0  0  1       0.000000   0.500000   0.500000        0.000000    0.000000     -1.000000    0.000000      1.000000    0.000000      0.000000    0.000000
#-1  0  0    0  1  0    0  0  1       0.500000   0.000000   0.500000        0.000000    0.000000      0.000000   -1.000000      0.000000   -1.000000      0.000000    0.000000
# 0 -1  0   -1  0  0    0  0  1       0.500000   0.500000   0.500000        0.000000    0.000000     -0.707107   -0.707107      0.707107   -0.707107     -0.000000    0.000000
# 0  1  0    1  0  0    0  0  1       0.000000   0.000000   0.500000        0.000000    0.000000     -0.707107    0.707107      0.707107    0.707107     -0.000000    0.000000
#

  0.234770       0.000000    0.316667    0.000000          1         1    10.4865   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.544639  -0.838671            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.544639  -0.838671            XXX        XXX            XXX        XXX            XXX        XXX       1.000000   0.000000            XXX        XXX            XXX        XXX
  0.234770       0.000000    0.316667    0.000000          2         1    10.5577   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.544639   0.838671            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.544639   0.838671            XXX        XXX            XXX        XXX            XXX        XXX       1.000000   0.000000            XXX        XXX            XXX        XXX
  0.247126       0.000000    0.333333    0.000000          1         1    10.4906   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.500000  -0.866025            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.500000  -0.866025            XXX        XXX            XXX        XXX            XXX        XXX       1.000000   0.000000            XXX        XXX            XXX        XXX
  0.247126       0.000000    0.333333    0.000000          2         1    10.5566   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.500000   0.866025            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.500000   0.866025            XXX        XXX            XXX        XXX            XXX        XXX       1.000000   0.000000            XXX        XXX            XXX        XXX
  0.259483       0.000000    0.350000    0.000000          1         1    10.4949   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.453990  -0.891007            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.453990  -0.891007            XXX        XXX            XXX        XXX            XXX        XXX       1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.259483       0.000000    0.350000    0.000000          2         1    10.5549   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.453990   0.891007            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.453990   0.891007            XXX        XXX            XXX        XXX            XXX        XXX       1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.271839       0.000000    0.366667    0.000000          1         1    10.4970   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.406737  -0.913545            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.406737  -0.913545            XXX        XXX            XXX        XXX            XXX        XXX       1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.271839       0.000000    0.366667    0.000000          2         1    10.5530   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.406737   0.913545            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.406737   0.913545            XXX        XXX            XXX        XXX            XXX        XXX       1.000000   0.000000            XXX        XXX            XXX        XXX
  0.284195       0.000000    0.383333    0.000000          1         1    10.4976   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.358368  -0.933580            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.358368  -0.933580            XXX        XXX            XXX        XXX            XXX        XXX       1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.284195       0.000000    0.383333    0.000000          2         1    10.5482   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.358368   0.933580            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.358368   0.933580            XXX        XXX            XXX        XXX            XXX        XXX       1.000000   0.000000            XXX        XXX            XXX        XXX
  0.296552       0.000000    0.400000    0.000000          1         1    10.5015   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.309017  -0.951057            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.309017  -0.951057            XXX        XXX            XXX        XXX            XXX        XXX       1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.296552       0.000000    0.400000    0.000000          2         1    10.5458   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.309017   0.951057            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.309017   0.951057            XXX        XXX            XXX        XXX            XXX        XXX       1.000000   0.000000            XXX        XXX            XXX        XXX
  0.308908       0.000000    0.416667    0.000000          1         1    10.5046   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.258819  -0.965926            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.258819  -0.965926            XXX        XXX            XXX        XXX            XXX        XXX       1.000000  -0.000000            XXX        XXX            XXX        XXX
